ship_capacity,initial_resources,resource_gen_rate,weight_mean,weight_std,success_rate,avg_resources_mean,avg_resources_std,final_pop_mean,final_pop_std,efficiency_ratio
1100,115000,102.0,72815.06,3630.18,88.0,17815.06,3630.18,7.76,6.42,0.001208541200130852
1100,115000,103.0,80738.41,6139.63,100.0,25738.41,6139.63,31.66,22.46,0.0012385678637961783
1100,115000,104.0,95826.64,10334.17,100.0,40826.64,10334.17,122.02,91.42,0.0010435511461113528
1100,115000,105.0,120503.33,13585.22,100.0,65503.33,13585.22,395.67,219.73,0.0008298525858165081
1100,120000,95.0,68180.31,1518.29,0.0,13180.31,1518.29,0.0,0.0,0.0
1100,120000,96.0,68458.5,1564.61,0.0,13458.5,1564.61,0.0,0.0,0.0
1100,120000,97.0,68536.82,1768.03,0.0,13536.82,1768.03,0.0,0.0,0.0
1100,120000,98.0,69046.42,1801.62,0.0,14046.42,1801.62,0.0,0.0,0.0
1100,120000,99.0,69268.12,2062.08,0.0,14268.12,2062.08,0.0,0.0,0.0
1100,120000,100.0,69001.17,2188.05,1.0,14001.17,2188.05,0.03,0.3,1.4492507880663474e-05
1100,120000,101.0,69628.3,2475.52,27.0,14628.3,2475.52,1.0,2.61,0.0003877733622679284
1100,120000,102.0,73002.23,3878.54,86.0,18002.23,3878.54,8.04,7.08,0.0011780462048899055
